coin,snapshot height,balance
BTC(ALL),765333,25736.87098
ETH(ALL),-,143403.1463
ETH,16083851,125887.256
ETH-Arbitrum,42480854,7785.838076
ETH-Optimism,43950280,9730.052181
USDT(ALL),-,748602233.9
USDT-Avalanche C-Chain,23040384,56028922.25
USDT-TRC20,46412262,28005623.75
USDT-ETH,16083851,664567687.9
TRX(ALL),46412262,9668619974
HT(ALL),16083851,191262859.9

coin,address,snapshot height,balance,message,signature
BTC,143gLvWYUojXaWZRrxquRKpVNTkhmr415B,765333,12345.96934,King will be back!,
BTC,12qTdZHx6f77aQ74CPCZGSY47VaRwYjVD8,765333,12970.80686,King will be back!,
BTC,1HckjUpRGcrrRAtFaaCAUaGjsPx9oYmLaZ,765333,250.9607667,King will be back!,IJtEWgK2V8QxKUCWpVlfMTpVhwS2My/2Notvcw2lPBuHACHkxUESh8BoPL1vzQ4hkqYg/EZbQm9hpPKKcZJwY7E=
BTC,1L15W6b9vkxV81xW5HDtmMBycrdiettHEL,765333,128.4618187,King will be back!,HykVVa/sq/Wwekv6Dld+tjfRvGulYBBGxQ9hZj/mQGqLJE5Ni6Gy1B0K2pEPVvWHJp+XAKkEyj1QNKOh1ggkqPw=
BTC,1MdhTqVnUNA3isfUHS27HucJ1hNVc6Qcrz,765333,40.67218608,King will be back!,H8e8vdRgtLFBQeu+n5VFeZMtrOhS2WAYqSggdajok8S/RuNTHaeR3oWOad1SusK0214g87trk8h1lR0rMG9Fnkg=
HT-ETH,0xa929022c9107643515f5c777ce9a910f0d1e490c,16083851,60005288.86,-,-
HT-ETH,0x6b2286fc3a9265bab3f064808022aca54de4b6ce,-,-,King will be back!,
HT-ETH,0x3d655889d197125fb90dcb72e4a287a8410ed1b9,-,-,King will be back!,
HT-ETH,0x0511509A39377F1C6c78DB4330FBfcC16D8A602f,16083851,41746156,King will be back!,
HT-ETH,0x1205E4f0D2f02262E667fd72f95a68913b4F7462,16083851,31980000,King will be back!,
HT-ETH,0xe4818f8fde0c977a01da4fa467365b8bf22b071e,16083851,20000000,King will be back!,0x6c3bc7a08c9917ef4bdb6c304f11300f06cafbd8f5b95b808c266a6b2f92b20471c10c532430f6f865d8855341227ec111fead23e62cab76297ea7b9c0e0ee4300
